address,description,posted_on,price,specification,title
Palarivattom,"
						This is a new building apartment. Hygiene room with homely food. Laundry and ironing facilities are available. 5 minute walk to the bus stop. 1 km to palarivattom ..
					","Posted on: Mar 13, 2020","5150
									"," Paying Guest,4000 Sq. Ft. , , ","
                                    4000 Sq. Ft. Room for Rent in Palarivattom "
Kaloor,"
						3 BHK Residential Flat for Rent near Lisie Hospital Road. Floor No 7. Flat No 7A. Proximity to Schools, Metro Station, Railway Station. Family preferred.  
					","Posted on: Dec 30, 2019","20000
									","3 BHK Flat/Apartment,1500 Sq. Ft. ,Semifurnished, , ","
                                    3 BHK Residential Flat for Rent near Lisie Hospital Road "
Marine Drive,"
						fully furnished flat for rent at marine drive in Tata tritvam project luxury facilities and close to all aminities interested.
					","Posted on: Nov 21, 2019","70000
									","3 BHK Flat/Apartment,2999 Sq. Ft. ,Furnished, , ","
                                    3 BHK Residential Apartment for Rent in Marine Drive "
Edappally,"
						3 BHK Residential Apartment for Rent in Edappally Bachelor's accommodation near lulu mall. monthly rent Rs 2500 to 3500.Sharing basis room. Two and four person..
					","Posted on: Mar 14, 2020","2500
									","3 BHK Flat/Apartment,500 Sq. Ft. ,Semifurnished, , ","
                                    3 BHK Residential Apartment for Rent in Edappally "
Papali Rd,"
						1030 sq ft 2bhk furnished flat for rent at sfs brandon park. flat includes 2 ac, bed, table etc. monthly rent is 16500 + 3000 maintenance charges. Genuiene buyers ..
					","Posted on: Mar 13, 2020","16500
									","2 BHK Flat/Apartment,1030 Sq. Ft. ,Furnished, , ","
                                    2 BHK Residential Flat for Rent in Papali Rd "
Vyttila,"
						3bhk fully furnished flat for rent at vytilla mobility hub. monthly rent is 16000+3000 maintenance charges.Mather loral grove, 10th floor, vytilla
					","Posted on: Mar 13, 2020","16000
									","3 BHK Flat/Apartment,1670 Sq. Ft. ,Furnished, , ","
                                    3 BHK Residential Flat for Rent in Vyttila "
Kacheripady,"
						3 bhk fully furnished flat for rent at srm road kaloor .All furnitures including,tv,fridge, washing machine,light,fan,bed,dining table,chaos,etc.
					","Posted on: Mar 12, 2020","25000
									","3 BHK Flat/Apartment,1650 Sq. Ft. ,Furnished, , ","
                                    2 BHK Residntial Flat for Rent in Kacheripady "
Padamughal,"
						3 bhk semi furnished flat for rent at padamukhal, kakkanad.Expecting rent is 18000 including maintenance charges . Three bedrooms all attached bathrooms, Two bedro..
					","Posted on: Mar 12, 2020","18000
									","3 BHK Flat/Apartment,1650 Sq. Ft. ,Furnished, , ","
                                    3 BHK Residential Flat for Rent in Padamughal "
Kakkanad,"
						1600 Sq.Ft 3 BHK Residential Flat For Rent At Kakkanad
					","Posted on: Apr 23, 2020","22000
									"," Flat/Apartment, , ","
                                    1600 Sq.Ft 3 BHK Residential Flat For Rent At Kakkanad "
Maradu,"
						780 Sq.Ft 2 BHK Residential Apartment For Rent At Maradu
					","Posted on: Apr 23, 2020","12000
									","2 BHK Flat/Apartment,780 Sq. Ft. ,Semifurnished, , ","
                                    780 Sq.Ft 2 BHK Residential Apartment For Rent At Maradu "
Possession_by,address_area,area_sqft,construction_status,main_title,price_sqft
Possession by Nov 2022,Dahisar,420 ,Under Construction,1 BHK Property for Sale in Dahisar Mumbai,"18,377 / sq ft"
Possession by Feb 2022,Panvel,672 ,Under Construction,2 BHK Property for Sale in Panvel Mumbai,"21,667 / sq ft"
Possession by Dec 2023,Malad East,419 ,Under Construction,1 BHK Property for Sale in Malad East Mumbai,"18,000 / sq ft"
Possession by Dec 2022,Kandivali East,667 ,Under Construction,2 BHK Property for Sale in Kandivali East Mumbai,"22,973 / sq ft"
Possession by Dec 2022,Kalamboli,1091 ,Under Construction,2 BHK Property for Sale in Kalamboli Mumbai,"12,007 / sq ft"
Possession by Nov 2025,Mulund West,975 ,Under Construction,3 BHK Property for Sale in Mulund West Mumbai,"23,692 / sq ft"
Possession by Nov 2020,Thane West,531 ,Under Construction,2 BHK Property for Sale in Thane West Mumbai,"18,079 / sq ft"
Possession by Feb 2022,Saphale,575 ,Under Construction,1 BHK Property for Sale in Saphale Mumbai,"2,957 / sq ft"
,Malad East,847 ,Under Construction,2 BHK Property for Sale in Malad East Mumbai,"25,619 / sq ft"
Possession by Nov 2024,Lower Parel,577 ,Under Construction,2 BHK Property for Sale in Lower Parel Mumbai,"39,238 / sq ft"
Possession by Sep 2021,Vangani,201 ,Under Construction,1 BHK Property for Sale in Vangani Mumbai,"4,987 / sq ft"
Possession by Dec 2021,Chembur,320 ,Under Construction,1 BHK Property for Sale in Chembur Mumbai,"21,844 / sq ft"
Possession by Jun 2021,Santacruz East,900 ,Under Construction,3 BHK Property for Sale in Santacruz East Mumbai,"33,000 / sq ft"
Possession by Nov 2020,Andheri West,340 ,Under Construction,1 BHK Property for Sale in Andheri West Mumbai,"27,205 / sq ft"
Possession by Nov 2023,Dadar West,1413 ,Under Construction,3 BHK Property for Sale in Dadar West Mumbai,"53,116 / sq ft"
Possession by Feb 2024,Thane West,618 ,Under Construction,2 BHK Property for Sale in Thane West Mumbai,"23,948 / sq ft"
,Malad West,896 ,Ready to move,2 BHK Property for Sale in Malad West Mumbai,"15,066 / sq ft"
,Jogeshwari East,687 ,Ready to move,2 BHK Property for Sale in Jogeshwari East Mumbai,"32,751 / sq ft"
Possession by Mar 2022,Girgaon,570 ,Under Construction,2 BHK Property for Sale in Girgaon Mumbai,"42,456 / sq ft"
Possession by Nov 2021,Wadala,1005 ,Under Construction,3 BHK Property for Sale in Wadala Mumbai,"29,751 / sq ft"
