area,construction_status,per_sqr_ft,price,property_location,title,years
420 ,Under Construction,"18,377 ",77 L,"Dahisar, Mumbai",1 BHK Apartment in V K LAL VKLAL VISHNU PHASE I,Possession by Nov 2022
672 ,Under Construction,"21,667 ",1.45 Cr,"Panvel, Mumbai",2 BHK Apartment in Hiranandani Fortune City,Possession by Feb 2022
419 ,Under Construction,"18,000 ",75.42 L,"Malad East, Mumbai",1 BHK Apartment in JE Shiv Krupa,Possession by Dec 2023
667 ,Under Construction,"22,973 ",1.53 Cr,"Kandivali East, Mumbai",2 BHK Apartment in Crescent Horizon,Possession by Dec 2022
 , , ,  ,,,
1091 ,Under Construction,"12,007 ",1.31 Cr,"Kalamboli, Mumbai",2 BHK Apartment in Proviso Builders Sai Proviso Sapphire,Possession by Dec 2022
975 ,Under Construction,"23,692 ",2.31 Cr,"Mulund West, Mumbai",3 BHK Apartment in Wadhwa Atmosphere O2,Possession by Nov 2025
531 ,Under Construction,"18,079 ",96 L,"Thane West, Mumbai",2 BHK Apartment in Runwal Eirene,Possession by Nov 2020
575 ,Under Construction,"2,957 ",17 L,"Saphale, Mumbai",1 BHK Apartment in Visharia Sadguru Aarambh,Possession by Feb 2022
847 ,Under Construction,"25,619 ",2.17 Cr,"Malad East, Mumbai",2 BHK Apartment in Atul Blue Mountains,New 
577 ,Under Construction,"39,238 ",2.26 Cr,"Lower Parel, Mumbai",2 BHK Apartment in The Baya Central,Possession by Nov 2024
201 ,Under Construction,"4,987 ",10.02 L,"Vangani, Mumbai",1 BHK Apartment in Himalaya Gardens,Possession by Sep 2021
320 ,Under Construction,"21,844 ",69.9 L,"Chembur, Mumbai",1 BHK Apartment in Vardhan Heights,Possession by Dec 2021
900 ,Under Construction,"33,000 ",2.97 Cr,"Santacruz East, Mumbai",3 BHK Apartment in MS H2O,Possession by Jun 2021
340 ,Under Construction,"27,205 ",92.5 L,"Andheri West, Mumbai",1 BHK Apartment in Lak And Hanware The Residency,Possession by Nov 2020
1413 ,Under Construction,"53,116 ",7.5 Cr,"Dadar West, Mumbai",3 BHK Apartment in Richa Park Mist,Possession by Nov 2023
618 ,Under Construction,"23,948 ",1.48 Cr,"Thane West, Mumbai",2 BHK Apartment in Shapoorji Pallonji Northern Lights,Possession by Feb 2024
896 ,Ready to move,"15,066 ",1.35 Cr,"Malad West, Mumbai",2 BHK Apartment in KP KP Samudraa,3 - 4 years old
687 ,Ready to move,"32,751 ",2.24 Cr,"Jogeshwari East, Mumbai",2 BHK Apartment in Halkara Rameshwar Darshan,2 - 3 years old
570 ,Under Construction,"42,456 ",2.42 Cr,"Girgaon, Mumbai",2 BHK Apartment in Shree Vastudeep Dada Maharaj Heights,Possession by Mar 2022
1005 ,Under Construction,"29,751 ",2.98 Cr,"Wadala, Mumbai",3 BHK Apartment in Dignity Divine,Possession by Nov 2021
703 ,Ready to move,"4,373 ",30.74 L,"Vasind, Mumbai",2 BHK Apartment in Vardhaman Vatika,2 - 3 years old
373 ,Under Construction,"20,967 ",77.99 L,"Kharghar, Mumbai",1 BHK Apartment in Gami Viona,Possession by Nov 2022
426 ,Under Construction,"19,859 ",84.59 L,"Kurla, Mumbai",1 BHK Apartment in Raghav ONE,Possession by Nov 2020
752 ,Under Construction,"25,000 ",1.88 Cr,"Andheri East, Mumbai",2 BHK Apartment in Pride Park Royale,Possession by Nov 2020
 , , ,  ,,,
540 ,Under Construction,"8,063 ",43.54 L,"Dombivali, Mumbai",2 BHK Apartment in Ashapura Asha Icon Live An Iconic Life,Possession by Nov 2022
445 ,Under Construction,"9,166 ",40.78 L,"Taloja, Mumbai",1 BHK Apartment in Cemcon Innovative Icon,Possession by Nov 2027
586 ,Under Construction,"6,997 ",41 L,"Virar, Mumbai",2 BHK Apartment in Sri Garden Avenue K,Possession by Nov 2022
410 ,Under Construction,"5,926 ",24.3 L,"Badlapur East, Mumbai",1 BHK Apartment in Shivalik Vedant Kalash,Possession by Feb 2021
635 ,Ready to move,"4,330 ",27.5 L,"Badlapur East, Mumbai",1 BHK Apartment in Thanekar Parkland,1 year old
444 ,Ready to move,"6,145 ",27.28 L,"Ambernath West, Mumbai",1 BHK Apartment in Wadhwa Daisy Gardens,2 - 3 years old
537 ,Under Construction,"5,809 ",31.14 L,"Neral, Mumbai",2 BHK Apartment in Gruharaj Royal Regalia,Possession by Nov 2022
619 ,Under Construction,"3,283 ",20.32 L,"Karjat, Mumbai",2 BHK Apartment in Bright Florance Town,Possession by Nov 2021
312 ,Under Construction,"6,993 ",21.81 L,"Ambernath East, Mumbai",1 BHK Apartment in Prakruti Sparsh,Possession by Nov 2021
378 ,Under Construction,"4,122 ",15.58 L,"Neral, Mumbai",1 BHK Apartment in Nirman Viviana Block 2,Possession by Nov 2024
450 ,Under Construction,"7,111 ",32 L,"Mira Road East, Mumbai",1 BHK Apartment in Shree Ostwal Horizon,Possession by Dec 2027
490 ,Under Construction,"11,632 ",57 L,"Kalamboli, Mumbai",1 BHK Apartment in Proviso Builders Sai Proviso Sapphire,Possession by Dec 2022
1301 ,Ready to move,"19,369 ",2.52 Cr,"Thane West, Mumbai",4 BHK Apartment in Vardhaman Lotus,4 - 5 years old
642 ,Under Construction,"22,274 ",1.43 Cr,"Bhandup West, Mumbai",2 BHK Apartment in Kukreja Gardens,Possession by Mar 2025
950 ,Under Construction,"7,894 ",75 L,"Karanjade, Mumbai",2 BHK Apartment in Neelkanth Suryoday,Possession by Dec 2021
720 ,Ready to move,"30,555 ",2.2 Cr,"Ghansoli, Mumbai",3 BHK Apartment in RNA NG Grand Plaza Phase I,0 - 1 year old
1080 ,Under Construction,"4,900 ",52.92 L,"Bhiwandi, Mumbai",2 BHK Apartment in Dev Drashti Empire Phase 1,Possession by Apr 2023
311 ,Under Construction,"5,035 ",15.61 L,"Titwala, Mumbai",1 BHK Apartment in Shankheshwar Crystal Phase 2,Possession by Dec 2023
395 ,Under Construction,"5,569 ",22 L,"Badlapur East, Mumbai",1 BHK Apartment in Shivshakti Greens,Possession by Nov 2021
288 ,Under Construction,"5,729 ",16.5 L,"Vangani, Mumbai",1 BHK Apartment in Maruti Shiv Utsav,Possession by Mar 2023
 , , ,  ,,,
444 ,Under Construction,"6,984 ",31 L,"Vasai, Mumbai",1 BHK Apartment in Dange Dange Crown A Wing,Possession by Nov 2022
1085 ,Under Construction,"25,738 ",2.78 Cr,"Chembur, Mumbai",3 BHK Apartment in Godrej Prime,Possession by Apr 2022
675 ,Under Construction,"25,222 ",1.69 Cr,"Mulund West, Mumbai",2 BHK Apartment in GHP Vaishakh,Possession by Dec 2023
957 ,Under Construction,"3,971 ",38 L,"Shil Phata, Mumbai",2 BHK Apartment in Kanak Mukta Lake City,Possession by Nov 2020
675 ,Under Construction,"4,696 ",31.7 L,"Ambernath East, Mumbai",1 BHK Apartment in Jhalak Luxuria,Possession by Nov 2020
570 ,Under Construction,"7,324 ",41.75 L,"Naigaon East, Mumbai",2 BHK Apartment in Sunteck West World,Possession by Aug 2022
631 ,Ready to move,"45,000 ",2.83 Cr,"Dadar East, Mumbai",2 BHK Apartment in Rishiraj Builders LLP Pearl Aurelia,0 - 1 year old
564 ,Under Construction,"24,290 ",1.37 Cr,"Borivali West, Mumbai",2 BHK Apartment in CH Saikrupa CHSL,Possession by Nov 2023
411 ,Under Construction,"5,323 ",21.88 L,"Neral, Mumbai",1 BHK Apartment in Space World Building No 1 D Wing,Possession by Nov 2023
921 ,Ready to move,"7,709 ",71 L,"Kamothe, Mumbai",2 BHK Apartment in Vub Veermaa Paradise,4 - 5 years old
830 ,Ready to move,"25,301 ",2.1 Cr,"Santacruz East, Mumbai",1 BHK Apartment in Sumit Sumit Artista,3 - 4 years old
570 ,Ready to move,"11,754 ",67 L,"kasaradavali thane west, Mumbai",1 BHK Apartment,0 - 1 year old
726 ,Ready to move,"45,000 ",3.26 Cr,"Dadar East, Mumbai",2 BHK Apartment in Rishiraj Pearl Crest,New 
503 ,Under Construction,"20,119 ",1.01 Cr,"Bhandup West, Mumbai",2 BHK Apartment in Aakaar Wishvas,Possession by Dec 2024
655 ,Under Construction,"19,389 ",1.26 Cr,"Thane West, Mumbai",2 BHK Apartment in Godrej Exquisite,Possession by Sep 2024
473 ,Under Construction,"9,090 ",43 L,"Thane West, Mumbai",1 BHK Apartment in Lodha Majiwada Tower 5,Possession by Oct 2021
1520 ,Under Construction,"24,868 ",3.77 Cr,"Kandivali East, Mumbai",4 BHK Apartment in Kalpataru Vienta,Possession by Dec 2025
630 ,Under Construction,"31,905 ",2.01 Cr,"Mazagaon, Mumbai",2 BHK Apartment in Alfa Mana A M Residency,Possession by Aug 2020
1260 ,Ready to move,"11,904 ",1.5 Cr,"Kharghar, Mumbai",3 BHK Apartment in Prajapati Lawns,9 - 10 years old
653 ,Under Construction,"17,917 ",1.17 Cr,"Thane West, Mumbai",2 BHK Apartment in Ashar Group Edge Wing A Phase II,Possession by Sep 2022
 , , ,  ,,,
655 ,Under Construction,"8,748 ",57.3 L,"Panvel, Mumbai",1 BHK Apartment in Tricity Luxuria,Possession by Aug 2021
986 ,Under Construction,"32,860 ",3.24 Cr,"Powai, Mumbai",3 BHK Apartment in Kanakia Codename Future A,Possession by May 2024
377 ,Under Construction,"7,155 ",26.97 L,"Karjat, Mumbai",2 BHK Apartment in Anmol The Nature,Possession by Nov 2022
580 ,Ready to move,"9,482 ",55 L,"kasaradavali thane west, Mumbai",1 BHK Apartment in Reputed Joy Square,0 - 1 year old
510 ,Under Construction,"10,392 ",53 L,"Dombivali, Mumbai",2 BHK Apartment,2 Bathrooms
582 ,Ready to move,"3,780 ",22 L,"Nala Sopara, Mumbai",1 BHK Apartment in Dudhwala Ayan Residency Phase 1,Resale 
1870 ,Under Construction,"8,750 ",1.63 Cr,"Kharghar, Mumbai",3 BHK Apartment in Paradise Sai Aaradhya,Possession by Nov 2023
640 ,Ready to move,"5,312 ",34 L,"Virar, Mumbai",1 BHK Apartment in Shubh Shwet Kini Tower,0 - 1 year old
736 ,Under Construction,"19,565 ",1.44 Cr,"Thane West, Mumbai",3 BHK Apartment in Vijay Orovia Phase 1,Possession by Feb 2022
655 ,Ready to move,"8,396 ",55 L,"kasaradavali thane west, Mumbai",1 BHK Apartment,0 - 1 year old
627 ,Under Construction,"18,051 ",1.13 Cr,"Thane West, Mumbai",2 BHK Apartment in Piramal Vaikunth Cluster 2,Possession by Nov 2023
517 ,Under Construction,"3,800 ",19.65 L,"Sarswati Nagar, Mumbai",1 BHK Apartment,1 Bathrooms
395 ,Under Construction,"18,987 ",75 L,"Mulund West, Mumbai",1 BHK Apartment in Shree Akshay Shree Krushna Tower,Possession by Nov 2023
550 ,Ready to move,"18,181 ",1 Cr,"Dahisar West, Mumbai",1 BHK Apartment in Reputed Sheetal Anand CHS,0 - 1 year old
686 ,Ready to move,"4,927 ",33.8 L,"Nala Sopara, Mumbai",2 BHK Apartment in Shree Parasnath Jay Vijay Nagari No 1,1 Bathrooms
1082 ,Ready to move,"7,024 ",76 L,"Kalamboli, Mumbai",2 BHK Apartment in Neelsidhi Amarante,4 - 5 years old
476 ,Under Construction,"5,941 ",28.27 L,"Taloja, Mumbai",1 BHK Apartment in Ashtvinayak Sarvam,Possession by Nov 2025
1097 ,Ready to move,"25,068 ",2.75 Cr,"Kandivali East, Mumbai",2 BHK Apartment,2 Bathrooms
350 ,Under Construction,"4,000 ",14 L,"Nala Sopara, Mumbai",1 RK Studio Apartment in Dudhwala Ayan Residency Phase 1,Possession by Nov 2023
915 ,Ready to move,"4,590 ",42 L,"Naigaon East, Mumbai",2 BHK Apartment in HMK Builders Vishnu Apartment,4 - 5 years old
 , , ,  ,,,
650 ,Ready to move,"8,615 ",56 L,"kasaradavali thane west, Mumbai",1 BHK Apartment in Reputed Kasarvadavali,0 - 1 year old
465 ,Under Construction,"22,580 ",1.05 Cr,"Bhandup West, Mumbai",1 BHK Apartment in Srishti Group Pride Phase 1,Possession by Nov 2022
630 ,Ready to move,"5,873 ",37 L,"Kalamboli, Mumbai",1 BHK Apartment in Anchit Chandra Ganga Residency,6 - 7 years old
745 ,Under Construction,"11,703 ",87.19 L,"Panvel, Mumbai",2 BHK Apartment in Marathon Nexzone,Possession by Nov 2020
920 ,Ready to move,"33,695 ",3.1 Cr,"Ville Parle East, Mumbai",3 BHK Apartment,2 Bathrooms
639 ,Under Construction,"15,968 ",1.02 Cr,"Thane West, Mumbai",2 BHK Apartment in Dosti West County Oak,Possession by May 2021
495 ,Under Construction,"10,496 ",51.95 L,"Dombivali, Mumbai",1 BHK Apartment in Runwal Gardens Phase I,Possession by May 2023
422 ,Under Construction,"17,298 ",73 L,"Thane West, Mumbai",1 BHK Apartment in Runwal Eirene,Possession by Nov 2020
710 ,Ready to move,"10,563 ",75 L,"kasaradavali thane west, Mumbai",1 BHK Apartment,0 - 1 year old
250 ,Ready to move,"11,200 ",28 L,"Mankhurd, Mumbai",1 RK Studio Apartment,1 Bathrooms
610 ,Ready to move,"9,016 ",55 L,"kasaradavali thane west, Mumbai",1 BHK Apartment,0 - 1 year old
325 ,Ready to move,"23,076 ",75 L,"Santacruz East, Mumbai",1 RK Studio Apartment,1 Bathrooms
780 ,Ready to move,"30,769 ",2.4 Cr,"Andheri East, Mumbai",2 BHK Apartment,2 Bathrooms
700 ,Ready to move,"6,857 ",48 L,"Kalamboli, Mumbai",1 BHK Apartment in RK Vaishnavi Heights,5 - 6 years old
1050 ,Ready to move,"20,476 ",2.15 Cr,"Chembur, Mumbai",2 BHK Apartment,2 Bathrooms
900 ,Ready to move,"6,444 ",58 L,"Dombivali, Mumbai",2 BHK Apartment in Lodha Casa Rio Gold,2 - 3 years old
316 ,Under Construction,"18,670 ",59 L,"Dahisar, Mumbai",1 BHK Apartment in V K LAL VKLAL VISHNU PHASE I,Possession by Nov 2022
396 ,Under Construction,"17,929 ",70.99 L,"Dahisar, Mumbai",1 BHK Apartment in V K LAL VKLAL VISHNU PHASE I,Possession by Nov 2022
394 ,Under Construction,"17,766 ",69.99 L,"Dahisar, Mumbai",1 BHK Apartment in V K LAL VKLAL VISHNU PHASE I,Possession by Nov 2022
1483 ,Under Construction,"12,811 ",1.9 Cr,"Panvel, Mumbai",3 BHK Apartment in Hiranandani Fortune City,Possession by Feb 2022
 , , ,  ,,,
392 ,Under Construction,"18,877 ",73.99 L,"Panvel, Mumbai",1 BHK Apartment in Hiranandani Fortune City,Possession by Feb 2022
526 ,Under Construction,"21,673 ",1.13 Cr,"Panvel, Mumbai",1 BHK Apartment in Hiranandani Fortune City,Possession by Feb 2022
560 ,Under Construction,"18,000 ",1 Cr,"Malad East, Mumbai",2 BHK Apartment in JE Shiv Krupa,Possession by Dec 2023
672 ,Under Construction,"21,667 ",1.45 Cr,"Panvel, Mumbai",2 BHK Apartment in Hiranandani Fortune City,Possession by Feb 2022
1483 ,Under Construction,"12,811 ",1.9 Cr,"Panvel, Mumbai",3 BHK Apartment in Hiranandani Fortune City,Possession by Feb 2022
392 ,Under Construction,"18,877 ",73.99 L,"Panvel, Mumbai",1 BHK Apartment in Hiranandani Fortune City,Possession by Feb 2022
526 ,Under Construction,"21,673 ",1.13 Cr,"Panvel, Mumbai",1 BHK Apartment in Hiranandani Fortune City,Possession by Feb 2022
636 ,Under Construction,"22,946 ",1.45 Cr,"Kandivali East, Mumbai",2 BHK Apartment in Crescent Horizon,Possession by Dec 2022
436 ,Under Construction,"22,706 ",98.99 L,"Kandivali East, Mumbai",1 BHK Apartment in Crescent Horizon,Possession by Dec 2022
666 ,Under Construction,"11,711 ",78 L,"Kalamboli, Mumbai",2 BHK Apartment in Proviso Builders Sai Proviso Sapphire,Possession by Dec 2022
680 ,Under Construction,"21,617 ",1.47 Cr,"Mulund West, Mumbai",2 BHK Apartment in Wadhwa Atmosphere O2,Possession by Nov 2025
628 ,Under Construction,"22,330 ",1.4 Cr,"Mulund West, Mumbai",2 BHK Apartment in Wadhwa Atmosphere O2,Possession by Nov 2025
996 ,Under Construction,"23,692 ",2.35 Cr,"Mulund West, Mumbai",3 BHK Apartment in Wadhwa Atmosphere O2,Possession by Nov 2025
618 ,Under Construction,"22,330 ",1.38 Cr,"Mulund West, Mumbai",2 BHK Apartment in Wadhwa Atmosphere O2,Possession by Nov 2025
753 ,Under Construction,"21,779 ",1.64 Cr,"Mulund West, Mumbai",2 BHK Apartment in Wadhwa Atmosphere O2,Possession by Nov 2025
422 ,Under Construction,"17,298 ",73 L,"Thane West, Mumbai",1 BHK Apartment in Runwal Eirene,Possession by Nov 2020
440 ,Under Construction,"40,050 ",1.76 Cr,"Lower Parel, Mumbai",1 BHK Apartment in The Baya Central,Possession by Nov 2024
438 ,Under Construction,"40,066 ",1.75 Cr,"Lower Parel, Mumbai",1 BHK Apartment in The Baya Central,Possession by Nov 2024
291 ,Under Construction,"5,106 ",14.86 L,"Vangani, Mumbai",1 BHK Apartment in Himalaya Gardens,Possession by Sep 2021
638 ,Under Construction,"33,000 ",2.1 Cr,"Santacruz East, Mumbai",2 BHK Apartment in MS H2O,Possession by Jun 2021
 , , ,  ,,,
1150 ,Under Construction,"33,000 ",3.79 Cr,"Santacruz East, Mumbai",3 BHK Apartment in MS H2O,Possession by Jun 2021
438 ,Under Construction,"33,000 ",1.44 Cr,"Santacruz East, Mumbai",1 BHK Apartment in MS H2O,Possession by Jun 2021
1015 ,Under Construction,"33,000 ",3.34 Cr,"Santacruz East, Mumbai",3 BHK Apartment in MS H2O,Possession by Jun 2021
931 ,Under Construction,"50,000 ",4.65 Cr,"Dadar West, Mumbai",2 BHK Apartment in Richa Park Mist,Possession by Nov 2023
543 ,Under Construction,"24,354 ",1.32 Cr,"Thane West, Mumbai",2 BHK Apartment in Shapoorji Pallonji Northern Lights,Possession by Feb 2024
981 ,Under Construction,"23,979 ",2.35 Cr,"Thane West, Mumbai",3 BHK Apartment in Shapoorji Pallonji Northern Lights,Possession by Feb 2024
