420 ,Under Construction,Possession by Nov 2022,"18,377 ",77 L,"Dahisar, Mumbai",1 BHK Apartment in V K LAL VKLAL VISHNU PHASE I
672 ,Under Construction,Possession by Feb 2022,"21,667 ",1.45 Cr,"Panvel, Mumbai",2 BHK Apartment in Hiranandani Fortune City
419 ,Under Construction,Possession by Dec 2023,"18,000 ",75.42 L,"Malad East, Mumbai",1 BHK Apartment in JE Shiv Krupa
667 ,Under Construction,Possession by Dec 2022,"22,973 ",1.53 Cr,"Kandivali East, Mumbai",2 BHK Apartment in Crescent Horizon
 , ,, ,  ,,
1091 ,Under Construction,Possession by Dec 2022,"12,007 ",1.31 Cr,"Kalamboli, Mumbai",2 BHK Apartment in Proviso Builders Sai Proviso Sapphire
975 ,Under Construction,Possession by Nov 2025,"23,692 ",2.31 Cr,"Mulund West, Mumbai",3 BHK Apartment in Wadhwa Atmosphere O2
531 ,Under Construction,Possession by Nov 2020,"18,079 ",96 L,"Thane West, Mumbai",2 BHK Apartment in Runwal Eirene
575 ,Under Construction,Possession by Feb 2022,"2,957 ",17 L,"Saphale, Mumbai",1 BHK Apartment in Visharia Sadguru Aarambh
847 ,Under Construction,New ,"25,619 ",2.17 Cr,"Malad East, Mumbai",2 BHK Apartment in Atul Blue Mountains
577 ,Under Construction,Possession by Nov 2024,"39,238 ",2.26 Cr,"Lower Parel, Mumbai",2 BHK Apartment in The Baya Central
201 ,Under Construction,Possession by Sep 2021,"4,987 ",10.02 L,"Vangani, Mumbai",1 BHK Apartment in Himalaya Gardens
320 ,Under Construction,Possession by Dec 2021,"21,844 ",69.9 L,"Chembur, Mumbai",1 BHK Apartment in Vardhan Heights
900 ,Under Construction,Possession by Jun 2021,"33,000 ",2.97 Cr,"Santacruz East, Mumbai",3 BHK Apartment in MS H2O
340 ,Under Construction,Possession by Nov 2020,"27,205 ",92.5 L,"Andheri West, Mumbai",1 BHK Apartment in Lak And Hanware The Residency
1413 ,Under Construction,Possession by Nov 2023,"53,116 ",7.5 Cr,"Dadar West, Mumbai",3 BHK Apartment in Richa Park Mist
618 ,Under Construction,Possession by Feb 2024,"23,948 ",1.48 Cr,"Thane West, Mumbai",2 BHK Apartment in Shapoorji Pallonji Northern Lights
